ppid,age,gender,height,armSpan,preferred_hand
p1,22,Female,1.667998,1.728011,Right
p2,20,Male,1.552859,1.605936,Right
p3,19,Male,1.677275,1.751966,Right
p4,23,Male,1.676225,1.724818,Right
p5,23,Female,1.509087,1.445233,Right
p6,21,Female,1.698773,1.559806,Right
p7,21,Female,1.668163,1.604167,Right
p8,20,Female,1.550105,1.553733,Right
p9,22,Female,1.556505,1.460282,Right
p10,19,Female,1.640026,1.618981,Right
p11,18,Male,1.734653,1.717451,Right
p12,19,Male,1.642687,1.535752,Right
p13,21,Male,1.776176,1.698907,Right
p14,23,Female,1.636179,1.636216,Left
p15,24,Female,1.583096,1.656518,Right
p16,21,Female,1.54559,1.525113,Right
p17,24,Male,1.718398,1.478891,Right
p18,19,Female,1.477438,1.443135,Right
p19,23,Female,1.569384,1.516408,Right
p20,24,Female,1.646112,1.584668,Right
p21,19,Female,1.631814,1.649979,Right
p22,22,Female,1.545779,1.480421,Right
p23,20,Female,1.594538,1.491189,Right
p24,20,Female,1.641971,1.600689,Right
p25,21,Female,1.492699,1.439225,Right
p26,18,Female,1.631387,1.622266,Right
p27,20,Female,1.6012,1.619361,Right
p28,21,Male,1.670592,1.656582,Right
p29,19,Male,1.695937,1.692107,Right
p30,19,Male,1.879111,1.744894,Right
p31,19,Male,1.735327,1.675884,Right
p32,24,Male,1.657383,1.737543,Right
p33,20,Male,1.583221,1.564723,Right
p34,20,Male,1.705994,1.720607,Left
p35,21,Male,1.749041,1.736643,Left
p36,22,Male,1.61937,1.650131,Right
p37,24,Male,1.540219,1.469076,Right
p38,20,Male,1.575057,1.631108,Right
p39,19,Male,1.625331,1.611768,Right
p40,18,Male,1.677846,1.707555,Right
